|  12  |  7119  |  1033  |  (K,X,Y)  |   1. DIG; typ: STRP  |
|  13  |  7291  |   790  |  (K,X,Y)  |   2. DIG; typ: -EP-  |
|  14  |  6921  |   447  |  (K,X,Y)  |   3. DIG; typ: .C..  |
|  14  |  6346  |    72  |  (K,X,Y)  |   4. DIG; typ: .C..  |
|  14  |  5647  |  -102  |  (K,X,Y)  |   5. DIG; typ: .C..  |
|  14  |  5210  |    -4  |  (K,X,Y)  |   6. DIG; typ: .C..  |
|  14  |  4787  |   342  |  (K,X,Y)  |   7. DIG; typ: .C..  |
|  14  |  4571  |   801  |  (K,X,Y)  |   8. DIG; typ: .C..  |
|  13  |  4485  |  1133  |  (K,X,Y)  |   9. DIG; typ: -EP-  |
|  14  |  4066  |   691  |  (K,X,Y)  |  10. DIG; typ: .C..  |
|  14  |  3485  |   255  |  (K,X,Y)  |  11. DIG; typ: .C..  |
|  14  |  2722  |   -63  |  (K,X,Y)  |  12. DIG; typ: .C..  |
|  14  |  2034  |  -150  |  (K,X,Y)  |  13. DIG; typ: .C..  |
|  14  |   991  |    88  |  (K,X,Y)  |  14. DIG; typ: .C..  |
|  14  |   196  |   917  |  (K,X,Y)  |  15. DIG; typ: .C..  |
|  14  |     0  |  1873  |  (K,X,Y)  |  16. DIG; typ: .C..  |
|  14  |   138  |  2669  |  (K,X,Y)  |  17. DIG; typ: .C..  |
|  14  |   542  |  3266  |  (K,X,Y)  |  18. DIG; typ: .C..  |
|  14  |  1530  |  3789  |  (K,X,Y)  |  19. DIG; typ: .C..  |
|  14  |  2523  |  3996  |  (K,X,Y)  |  20. DIG; typ: .C..  |
|  15  |  3094  |  4094  |  (K,X,Y)  |  21. DIG; typ: >TP<  |
|  13  |  4491  |  4346  |  (K,X,Y)  |  22. DIG; typ: -EP-  |
|  14  |  4476  |  4950  |  (K,X,Y)  |  23. DIG; typ: .C..  |
|  14  |  4414  |  5563  |  (K,X,Y)  |  24. DIG; typ: .C..  |
|  14  |  4069  |  6306  |  (K,X,Y)  |  25. DIG; typ: .C..  |
|  14  |  3467  |  6624  |  (K,X,Y)  |  26. DIG; typ: .C..  |
|  14  |  2859  |  6698  |  (K,X,Y)  |  27. DIG; typ: .C..  |
|  14  |  2176  |  6597  |  (K,X,Y)  |  28. DIG; typ: .C..  |
|  14  |  1940  |  6484  |  (K,X,Y)  |  29. DIG; typ: .C..  |
|  14  |  1800  |  6374  |  (K,X,Y)  |  30. DIG; typ: .C..  |
|  14  |  1721  |  6240  |  (K,X,Y)  |  3l. DIG; typ: .C..  |
|  14  |  1775  |  6133  |  (K,X,Y)  |  32. DIG; typ: .C..  |
|  14  |  1905  |  6006  |  (K,X,Y)  |  33. DIG; typ: .C..  |
|  14  |  2052  |  5780  |  (K,X,Y)  |  34. DIG; typ: .C..  |
|  14  |  2103  |  5504  |  (K,X,Y)  |  35. DIG; typ: .C..  |
|  14  |  2006  |  5112  |  (K,X,Y)  |  36. DIG; typ: .C..  |
|  14  |  1681  |  4779  |  (K,X,Y)  |  37. DIG; typ: .C..  |
|  14  |  1236  |  4677  |  (K,X,Y)  |  38. DIG; typ: .C..  |
|  14  |   873  |  4748  |  (K,X,Y)  |  39. DIG; typ: .C..  |
|  14  |   485  |  5153  |  (K,X,Y)  |  40. DIG; typ: .C..  |
|  14  |   402  |  5554  |  (K,X,Y)  |  4l. DIG; typ: .C..  |
|  14  |   498  |  6009  |  (K,X,Y)  |  42. DIG; typ: .C..  |
|  14  |   962  |  6600  |  (K,X,Y)  |  43. DIG; typ: .C..  |
|  14  |  1901  |  7017  |  (K,X,Y)  |  44. DIG; typ: .C..  |
|  14  |  3162  |  7153  |  (K,X,Y)  |  45. DIG; typ: .C..  |
|  14  |  4148  |  7062  |  (K,X,Y)  |  46. DIG; typ: .C..  |
|  14  |  5037  |  6684  |  (K,X,Y)  |  47. DIG; typ: .C..  |
|  14  |  5646  |  5881  |  (K,X,Y)  |  48. DIG; typ: .C..  |
|  14  |  5807  |  4999  |  (K,X,Y)  |  49. DIG; typ: .C..  |
|  15  |  5813  |  4526  |  (K,X,Y)  |  50. DIG; typ: >TP<  |
|  15  |  5813  |  2071  |  (K,X,Y)  |  5l. DIG; typ: >TP<  |
|  14  |  5819  |  1661  |  (K,X,Y)  |  52. DIG; typ: .C..  |
|  14  |  5869  |  1193  |  (K,X,Y)  |  53. DIG; typ: .C..  |
|  14  |  6071  |   807  |  (K,X,Y)  |  54. DIG; typ: .C..  |
|  14  |  6393  |   690  |  (K,X,Y)  |  55. DIG; typ: .C..  |
|  14  |  6747  |   787  |  (K,X,Y)  |  56. DIG; typ: .C..  |
|  14  |  6971  |   929  |  (K,X,Y)  |  57. DIG; typ: .C..  |
|  13  |  7119  |  1033  |  (K,X,Y)  |  58. DIG; typ: -EP-  |
|  12  |  4513  |  3884  |  (K,X,Y)  |  59. DIG; typ: STRP  |
|  15  |  4513  |  2715  |  (K,X,Y)  |  60. DIG; typ: >TP<  |
|  14  |  4488  |  2283  |  (K,X,Y)  |  6l. DIG; typ: .C..  |
|  14  |  4351  |  1681  |  (K,X,Y)  |  62. DIG; typ: .C..  |
|  14  |  4056  |  1237  |  (K,X,Y)  |  63. DIG; typ: .C..  |
|  14  |  3462  |   823  |  (K,X,Y)  |  64. DIG; typ: .C..  |
|  14  |  2736  |   671  |  (K,X,Y)  |  65. DIG; typ: .C..  |
|  14  |  1990  |   872  |  (K,X,Y)  |  66. DIG; typ: .C..  |
|  14  |  1521  |  1401  |  (K,X,Y)  |  67. DIG; typ: .C..  |
|  14  |  1389  |  2036  |  (K,X,Y)  |  68. DIG; typ: .C..  |
|  14  |  1555  |  2782  |  (K,X,Y)  |  69. DIG; typ: .C..  |
|  14  |  2076  |  3286  |  (K,X,Y)  |  70. DIG; typ: .C..  |
|  14  |  2751  |  3524  |  (K,X,Y)  |  71. DIG; typ: .C..  |
|  14  |  3226  |  3639  |  (K,X,Y)  |  72. DIG; typ: .C..  |
|  13  |  4513  |  3884  |  (K,X,Y)  |  73. DIG; typ: -EP-  |
